x,y,z,pressure,altitude,HR
-1.036376953,0.148193359,-0.109741211,971.3588017,354.7605398,0
-1.036376953,0.148193359,-0.109741211,971.3607853,354.7434511,0
-1.057373047,0.110229492,-0.131469727,971.3607853,354.7434511,0
-1.057373047,0.110229492,-0.131469727,971.3594887,354.7546215,0
-1.013916016,0.180053711,-0.101928711,971.3594887,354.7546215,0
-0.994750977,0.207519531,-0.089233398,971.3594887,354.7546215,0
-0.994750977,0.207519531,-0.089233398,971.3601866,354.7486083,0
-0.986816406,0.21496582,-0.080200195,971.3601866,354.7486083,0
-0.986816406,0.21496582,-0.080200195,971.3597146,354.7526754,0
-0.983154297,0.219604492,-0.071777344,971.3597146,354.7526754,0
-0.979370117,0.227905273,-0.072998047,971.3597146,354.7526754,0
-0.979370117,0.227905273,-0.072998047,971.3596628,354.7531217,0
-1.017211914,0.221435547,-0.107055664,971.3596628,354.7531217,0
-1.017211914,0.221435547,-0.107055664,971.3542689,354.7995909,0
-1.034790039,0.213256836,-0.123901367,971.3542689,354.7995909,0
-1.002441406,0.223999023,-0.1015625,971.3542689,354.7995909,0
-1.002441406,0.223999023,-0.1015625,971.355295,354.7907507,0
-0.984130859,0.236328125,-0.094238281,971.355295,354.7907507,0
-0.984130859,0.236328125,-0.094238281,971.3602921,354.7477001,0
-0.984130859,0.236328125,-0.094238281,971.3602921,354.7477001,0
-0.975585938,0.245117188,-0.090820313,971.3602921,354.7477001,0
-0.974731445,0.251342773,-0.090332031,971.3602921,354.7477001,0
-0.974731445,0.251342773,-0.090332031,971.3611559,354.7402583,0
-0.975463867,0.251098633,-0.088989258,971.3611559,354.7402583,0
-0.975708008,0.25,-0.081176758,971.3611559,354.7402583,0
-0.975708008,0.25,-0.081176758,971.3625261,354.7284531,0
-0.979003906,0.253662109,-0.067260742,971.3625261,354.7284531,0
-0.979003906,0.253662109,-0.067260742,971.3624644,354.7289845,0
-0.987060547,0.250976563,-0.056396484,971.3624644,354.7289845,0
-0.989501953,0.243652344,-0.061767578,971.3624644,354.7289845,0
-0.989501953,0.243652344,-0.061767578,971.3626671,354.7272385,0
-0.984375,0.24230957,-0.062133789,971.3626671,354.7272385,0
-0.984375,0.24230957,-0.062133789,971.3588473,354.7601473,0
-0.984008789,0.241699219,-0.064331055,971.3588473,354.7601473,0
-0.980834961,0.239379883,-0.068603516,971.3588473,354.7601473,0
-0.980834961,0.239379883,-0.068603516,971.3588307,354.76029,0
-0.982421875,0.241333008,-0.070556641,971.3588307,354.76029,0
-0.982421875,0.241333008,-0.070556641,971.3529944,354.8105716,0
-0.986328125,0.237060547,-0.071411133,971.3529944,354.8105716,0
-0.984985352,0.234008789,-0.072875977,971.3529944,354.8105716,0
-0.984985352,0.234008789,-0.072875977,971.3581472,354.7661789,0
-0.984985352,0.234008789,-0.072875977,971.3581472,354.7661789,0
-0.979125977,0.237792969,-0.072509766,971.3581472,354.7661789,0
-0.979125977,0.237792969,-0.072509766,971.3605633,354.7453633,0
-0.979492188,0.231323242,-0.071289063,971.3605633,354.7453633,0
-0.984985352,0.225097656,-0.068725586,971.3605633,354.7453633,0
-0.984985352,0.225097656,-0.068725586,971.3548025,354.7949936,0
-0.984375,0.22644043,-0.065307617,971.3548025,354.7949936,0
-1.001831055,0.236328125,-0.103393555,971.3548025,354.7949936,0
-1.001831055,0.236328125,-0.103393555,971.3565154,354.780237,0
-1.009887695,0.243164063,-0.123291016,971.3565154,354.780237,0
-1.009887695,0.243164063,-0.123291016,971.3488992,354.8458526,0
