x,y,z,pressure,altitude,HR
-0.921142578,0.297973633,-0.090576172,969.5418264,370.4260841,0
-0.921142578,0.297973633,-0.090576172,969.5407314,370.4355315,0
-0.94934082,0.302124023,-0.093261719,969.5407314,370.4355315,0
-0.94934082,0.302124023,-0.093261719,969.5408176,370.4347883,0
-0.962524414,0.298706055,-0.094604492,969.5408176,370.4347883,0
-0.964477539,0.29309082,-0.096557617,969.5408176,370.4347883,0
-0.964477539,0.29309082,-0.096557617,969.5414442,370.4293817,0
-0.987426758,0.313720703,-0.060668945,969.5414442,370.4293817,0
-0.987426758,0.313720703,-0.060668945,969.5399317,370.4424317,0
-0.985595703,0.323974609,-0.037719727,969.5399317,370.4424317,0
-0.976318359,0.30065918,-0.061279297,969.5399317,370.4424317,0
-0.976318359,0.30065918,-0.061279297,969.5440001,370.4073282,0
-0.973022461,0.297119141,-0.072387695,969.5440001,370.4073282,0
-0.970458984,0.297485352,-0.076416016,969.5440001,370.4073282,0
-0.970458984,0.297485352,-0.076416016,969.5433058,370.4133191,0
-0.969238281,0.295532227,-0.081542969,969.5433058,370.4133191,0
-0.969238281,0.295532227,-0.081542969,969.5473027,370.3788328,0
-0.967651367,0.293701172,-0.091186523,969.5473027,370.3788328,0
-0.967895508,0.284423828,-0.041503906,969.5473027,370.3788328,0
-0.967895508,0.284423828,-0.041503906,969.5452486,370.3965563,0
-0.967895508,0.284423828,-0.041503906,969.5452486,370.3965563,0
-0.967041016,0.283203125,-0.018310547,969.5452486,370.3965563,0
-0.967041016,0.283203125,-0.018310547,969.5418315,370.4260398,0
-0.965576172,0.283691406,-0.057495117,969.5418315,370.4260398,0
-0.966918945,0.287109375,-0.071655273,969.5418315,370.4260398,0
-0.966918945,0.287109375,-0.071655273,969.53887,370.4515928,0
-0.963500977,0.293823242,-0.077148438,969.53887,370.4515928,0
-0.963500977,0.293823242,-0.077148438,969.5388799,370.451507,0
-0.962890625,0.29284668,-0.075561523,969.5388799,370.451507,0
-0.96472168,0.293457031,-0.07800293,969.5388799,370.451507,0
-0.96472168,0.293457031,-0.07800293,969.5404274,370.4381549,0
-1.00402832,0.248901367,-0.131225586,969.5404274,370.4381549,0
-1.00402832,0.248901367,-0.131225586,969.543878,370.408382,0
-1.024536133,0.224975586,-0.151855469,969.543878,370.408382,0
-0.995483398,0.26171875,-0.112426758,969.543878,370.408382,0
-0.995483398,0.26171875,-0.112426758,969.5455041,370.3943513,0
-0.980957031,0.278930664,-0.095092773,969.5455041,370.3943513,0
-0.970947266,0.279541016,-0.090209961,969.5455041,370.3943513,0
-0.970947266,0.279541016,-0.090209961,969.5425185,370.420112,0
-0.970947266,0.279541016,-0.090209961,969.5425185,370.420112,0
-0.964233398,0.28515625,-0.087890625,969.5425185,370.420112,0
-0.964233398,0.28515625,-0.087890625,969.5414913,370.4289753,0
-0.961181641,0.290893555,-0.082641602,969.5414913,370.4289753,0
-0.960693359,0.291503906,-0.079223633,969.5414913,370.4289753,0
-0.960693359,0.291503906,-0.079223633,969.5443287,370.4044932,0
-0.967895508,0.289672852,-0.078613281,969.5443287,370.4044932,0
-0.967895508,0.289672852,-0.078613281,969.5508296,370.3484016,0
-0.970092773,0.287719727,-0.077270508,969.5508296,370.3484016,0
-0.967041016,0.286865234,-0.082885742,969.5508296,370.3484016,0
-0.967041016,0.286865234,-0.082885742,969.5436005,370.4107763,0
-0.969726563,0.289550781,-0.086669922,969.5436005,370.4107763,0
-0.969726563,0.289550781,-0.086669922,969.5401044,370.4409415,0
-0.973144531,0.291870117,-0.076904297,969.5401044,370.4409415,0
-0.97668457,0.285644531,-0.07019043,969.5401044,370.4409415,0
-0.97668457,0.285644531,-0.07019043,969.5431436,370.4147182,0
-0.975341797,0.2734375,-0.07019043,969.5431436,370.4147182,0
-0.975341797,0.2734375,-0.07019043,969.543751,370.4094777,0
-1.013183594,0.217651367,-0.140136719,969.543751,370.4094777,0
-1.034057617,0.194702148,-0.188354492,969.543751,370.4094777,0
-1.034057617,0.194702148,-0.188354492,969.5415281,370.4286575,0
-1.003051758,0.234130859,-0.151367188,969.5415281,370.4286575,0
-1.003051758,0.234130859,-0.151367188,969.5415281,370.4286575,0
-0.98449707,0.251464844,-0.122680664,969.5415281,370.4286575,0
-0.98449707,0.251464844,-0.122680664,969.5440487,370.4069088,0
-0.973754883,0.267822266,-0.105102539,969.5440487,370.4069088,0
-0.973754883,0.267822266,-0.105102539,969.5423547,370.4215255,0
-0.97277832,0.283813477,-0.100097656,969.5423547,370.4215255,0
-0.971435547,0.278808594,-0.092529297,969.5423547,370.4215255,0
-0.971435547,0.278808594,-0.092529297,969.54542,370.3950774,0
-0.954101563,0.289916992,-0.080688477,969.54542,370.3950774,0
-0.954101563,0.289916992,-0.080688477,969.540386,370.4385117,0
-0.947021484,0.301391602,-0.081420898,969.540386,370.4385117,0
-0.961425781,0.293212891,-0.095214844,969.540386,370.4385117,0
-0.961425781,0.293212891,-0.095214844,969.5395606,370.4456338,0
-0.966064453,0.291503906,-0.099609375,969.5395606,370.4456338,0
-0.966064453,0.291503906,-0.099609375,969.5376187,370.4623896,0
-0.963012695,0.286621094,-0.08605957,969.5376187,370.4623896,0
-0.96472168,0.277954102,-0.073486328,969.5376187,370.4623896,0
-0.96472168,0.277954102,-0.073486328,969.5359587,370.4767127,0
-0.963500977,0.269775391,-0.075927734,969.5359587,370.4767127,0
-0.963500977,0.269775391,-0.075927734,969.5394308,370.4467538,0
-1.01184082,0.237792969,-0.083251953,969.5394308,370.4467538,0
-1.038574219,0.232299805,-0.087768555,969.5394308,370.4467538,0
-1.038574219,0.232299805,-0.087768555,969.5373388,370.4648039,0
-1.000976563,0.267211914,-0.091918945,969.5373388,370.4648039,0
-0.98449707,0.282470703,-0.091796875,969.5373388,370.4648039,0
-0.98449707,0.282470703,-0.091796875,969.5349255,370.4856268,0
-0.975830078,0.280273438,-0.08972168,969.5349255,370.4856268,0
-0.975830078,0.280273438,-0.08972168,969.5330715,370.5016237,0
-0.966552734,0.277099609,-0.08972168,969.5330715,370.5016237,0
-0.968994141,0.276489258,-0.103393555,969.5330715,370.5016237,0
-0.968994141,0.276489258,-0.103393555,969.5365942,370.4712291,0
-0.968994141,0.276489258,-0.103393555,969.5343188,370.4908616,0
