x,y,z,pressure,altitude,HR
0.029663086,0.995605469,0.094848633,971.3418405,354.9066653,0
0.029663086,0.995605469,0.094848633,971.3507196,354.8301693,0
0.025512695,1.016113281,0.109985352,971.3507196,354.8301693,0
0.025512695,1.016113281,0.109985352,971.3505579,354.8315623,0
0.028930664,0.980957031,0.077392578,971.3505579,354.8315623,0
0.033569336,0.948852539,0.070556641,971.3505579,354.8315623,0
0.033569336,0.948852539,0.070556641,971.3577914,354.7692437,0
0.030517578,0.974609375,0.121582031,971.3577914,354.7692437,0
0.030517578,0.974609375,0.121582031,971.3637795,354.7176553,0
0.028076172,0.981323242,0.159912109,971.3637795,354.7176553,0
0.003051758,0.959472656,0.182006836,971.3637795,354.7176553,0
0.003051758,0.959472656,0.182006836,971.3676173,354.6845919,0
-0.019042969,0.942016602,0.181884766,971.3676173,354.6845919,0
-0.025268555,0.948486328,0.161987305,971.3676173,354.6845919,0
-0.025268555,0.948486328,0.161987305,971.3488906,354.8459265,0
-0.065673828,0.831542969,0.126586914,971.3488906,354.8459265,0
-0.065673828,0.831542969,0.126586914,971.3229197,355.0696769,0
-0.166870117,0.665527344,0.110107422,971.3229197,355.0696769,0
-0.166870117,0.665527344,0.110107422,971.3229197,355.0696769,0
-0.321411133,0.719360352,0.079589844,971.3229197,355.0696769,0
-0.321411133,0.719360352,0.079589844,971.2465167,355.7279476,0
-0.551879883,0.91027832,-0.039916992,971.2465167,355.7279476,0
-0.551879883,0.91027832,-0.039916992,971.300344,355.2641795,0
-0.916870117,0.965942383,-0.321899414,971.300344,355.2641795,0
-1.152709961,0.763671875,-0.412719727,971.300344,355.2641795,0
-1.152709961,0.763671875,-0.412719727,971.4467434,354.0029286,0
-1.145996094,0.500488281,-0.299804688,971.4467434,354.0029286,0
-1.145996094,0.500488281,-0.299804688,971.3337061,354.9767466,0
-1.076171875,0.41418457,-0.29296875,971.3337061,354.9767466,0
-1.008178711,0.382324219,-0.263793945,971.3337061,354.9767466,0
-1.008178711,0.382324219,-0.263793945,971.3388381,354.9325323,0
-0.986816406,0.292358398,-0.23034668,971.3388381,354.9325323,0
-0.986816406,0.292358398,-0.23034668,971.3604569,354.7462798,0
-0.973754883,0.239013672,-0.215820313,971.3604569,354.7462798,0
-0.961425781,0.231811523,-0.210083008,971.3604569,354.7462798,0
