x,y,z,pressure,altitude,HR
-0.960327148,0.268676758,-0.197875977,991.9878297,178.5453044,0
-0.960327148,0.268676758,-0.197875977,991.9912771,178.5161052,0
-0.961425781,0.265380859,-0.19543457,991.9912771,178.5161052,0
-0.961425781,0.265380859,-0.19543457,991.9921608,178.50862,0
-0.963989258,0.258666992,-0.187988281,991.9921608,178.50862,0
-0.989135742,0.219116211,-0.242919922,991.9921608,178.50862,0
-0.989135742,0.219116211,-0.242919922,991.9904127,178.5234268,0
-0.998779297,0.199584961,-0.26550293,991.9904127,178.5234268,0
-0.998779297,0.199584961,-0.26550293,991.9906005,178.5218356,0
-0.981445313,0.227050781,-0.214477539,991.9906005,178.5218356,0
-0.972290039,0.238647461,-0.189575195,991.9906005,178.5218356,0
-0.972290039,0.238647461,-0.189575195,991.9918714,178.5110712,0
-0.96496582,0.247314453,-0.181152344,991.9918714,178.5110712,0
-0.961425781,0.251342773,-0.179321289,991.9918714,178.5110712,0
-0.961425781,0.251342773,-0.179321289,991.9881681,178.5424381,0
-0.9609375,0.255249023,-0.182617188,991.9881681,178.5424381,0
-0.9609375,0.255249023,-0.182617188,991.9930524,178.501069,0
-0.9609375,0.255249023,-0.182617188,991.9930524,178.501069,0
-0.962646484,0.257080078,-0.185180664,991.9930524,178.501069,0
-0.963500977,0.25378418,-0.189575195,991.9930524,178.501069,0
-0.963500977,0.25378418,-0.189575195,991.9934151,178.4979966,0
-0.93371582,0.253295898,-0.16027832,991.9934151,178.4979966,0
-0.93371582,0.253295898,-0.16027832,991.994555,178.488342,0
-0.920776367,0.250976563,-0.139282227,991.994555,178.488342,0
-0.942016602,0.250976563,-0.159790039,991.994555,178.488342,0
-0.942016602,0.250976563,-0.159790039,991.9942514,178.4909131,0
-0.951782227,0.251953125,-0.169433594,991.9942514,178.4909131,0
-0.951782227,0.251953125,-0.169433594,991.9946541,178.487503,0
-0.959472656,0.251464844,-0.174804688,991.9946541,178.487503,0
-0.965209961,0.253295898,-0.179443359,991.9946541,178.487503,0
-0.965209961,0.253295898,-0.179443359,991.9932853,178.4990958,0
-0.967773438,0.255126953,-0.187988281,991.9932853,178.4990958,0
-0.967773438,0.255126953,-0.187988281,991.9910291,178.518206,0
-0.968017578,0.257080078,-0.196044922,991.9910291,178.518206,0
-0.946289063,0.314208984,-0.130004883,991.9910291,178.518206,0
-0.946289063,0.314208984,-0.130004883,991.993257,178.4993357,0
-0.935058594,0.341918945,-0.097167969,991.993257,178.4993357,0
-0.935058594,0.341918945,-0.097167969,991.993257,178.4993357,0
-0.949584961,0.303833008,-0.147460938,991.993257,178.4993357,0
-0.949584961,0.303833008,-0.147460938,991.9972525,178.4654946,0
-0.952270508,0.281860352,-0.170898438,991.9972525,178.4654946,0
-0.952270508,0.281860352,-0.170898438,991.9943737,178.4898779,0
-0.954467773,0.264282227,-0.182861328,991.9943737,178.4898779,0
-0.957641602,0.256103516,-0.188476563,991.9943737,178.4898779,0
-0.957641602,0.256103516,-0.188476563,992.0022049,178.4235484,0
-0.960083008,0.250244141,-0.194213867,992.0022049,178.4235484,0
-0.960083008,0.250244141,-0.194213867,991.9955276,178.4801045,0
-0.962402344,0.247436523,-0.195800781,991.9955276,178.4801045,0
-0.983154297,0.271240234,-0.151733398,991.9955276,178.4801045,0
-0.983154297,0.271240234,-0.151733398,991.9975472,178.4629985,0
-0.992919922,0.286499023,-0.133300781,991.9975472,178.4629985,0
-0.992919922,0.286499023,-0.133300781,992.0055161,178.3955035,0
-0.977661133,0.272705078,-0.162231445,992.0055161,178.3955035,0
-0.968383789,0.263183594,-0.169433594,992.0055161,178.3955035,0
-0.968383789,0.263183594,-0.169433594,991.9982792,178.4567989,0
-0.964111328,0.265991211,-0.177001953,991.9982792,178.4567989,0
-0.96105957,0.268432617,-0.181518555,991.9982792,178.4567989,0
-0.96105957,0.268432617,-0.181518555,992.0012558,178.4315871,0
-0.957641602,0.26953125,-0.181640625,992.0012558,178.4315871,0
-0.957641602,0.26953125,-0.181640625,991.9935326,178.4970017,0
-0.957641602,0.26953125,-0.181640625,991.9935326,178.4970017,0
-0.95703125,0.272094727,-0.182617188,991.9935326,178.4970017,0
-0.944213867,0.281616211,-0.195678711,991.9935326,178.4970017,0
-0.944213867,0.281616211,-0.195678711,991.9945874,178.4880673,0
-0.943481445,0.284057617,-0.203735352,991.9945874,178.4880673,0
-0.943481445,0.284057617,-0.203735352,991.9917858,178.5117966,0
-0.958740234,0.267456055,-0.191894531,991.9917858,178.5117966,0
-0.959594727,0.258666992,-0.181274414,991.9917858,178.5117966,0
-0.959594727,0.258666992,-0.181274414,991.9922541,178.5078305,0
-0.957885742,0.255615234,-0.180419922,991.9922541,178.5078305,0
-0.957885742,0.255615234,-0.180419922,991.9950518,178.4841338,0
-0.961303711,0.254150391,-0.184204102,991.9950518,178.4841338,0
-0.963867188,0.255615234,-0.185913086,991.9950518,178.4841338,0
-0.963867188,0.255615234,-0.185913086,991.9914681,178.5144877,0
