x,y,z,pressure,altitude,HR
-0.913574219,0.343994141,-0.118286133,971.4373995,354.083423,0
-0.913574219,0.343994141,-0.118286133,971.437555,354.0820837,0
-0.891601563,0.374633789,-0.106201172,971.437555,354.0820837,0
-0.930419922,0.334594727,-0.137084961,971.437555,354.0820837,0
-0.930419922,0.334594727,-0.137084961,971.438464,354.0742529,0
-0.951660156,0.314941406,-0.153442383,971.438464,354.0742529,0
-0.951660156,0.314941406,-0.153442383,971.4378628,354.0794316,0
-0.963623047,0.300537109,-0.158081055,971.4378628,354.0794316,0
-0.955566406,0.286621094,-0.148681641,971.4378628,354.0794316,0
-0.955566406,0.286621094,-0.148681641,971.4420223,354.0435997,0
-0.940429688,0.291625977,-0.136108398,971.4420223,354.0435997,0
-0.940429688,0.291625977,-0.136108398,971.4458027,354.011033,0
-0.965698242,0.255249023,-0.163452148,971.4458027,354.011033,0
-0.979492188,0.211303711,-0.198120117,971.4458027,354.011033,0
-0.979492188,0.211303711,-0.198120117,971.4520099,353.9575604,0
-0.970336914,0.225097656,-0.187255859,971.4520099,353.9575604,0
-0.978515625,0.251464844,-0.165527344,971.4520099,353.9575604,0
-0.978515625,0.251464844,-0.165527344,971.4445587,354.0217491,0
-0.974121094,0.276123047,-0.155273438,971.4445587,354.0217491,0
-0.974121094,0.276123047,-0.155273438,971.440485,354.0568425,0
-0.974121094,0.276123047,-0.155273438,971.440485,354.0568425,0
-0.963623047,0.288696289,-0.140136719,971.440485,354.0568425,0
-0.956665039,0.299804688,-0.130981445,971.440485,354.0568425,0
-0.956665039,0.299804688,-0.130981445,971.4396182,354.0643102,0
-0.94921875,0.308227539,-0.134033203,971.4396182,354.0643102,0
-0.94921875,0.308227539,-0.134033203,971.4430032,354.0351492,0
-0.938476563,0.341186523,-0.094848633,971.4430032,354.0351492,0
-0.940795898,0.353515625,-0.075439453,971.4430032,354.0351492,0
-0.940795898,0.353515625,-0.075439453,971.4440704,354.025956,0
-0.948120117,0.319580078,-0.101928711,971.4440704,354.025956,0
-0.948120117,0.319580078,-0.101928711,971.4434849,354.0309993,0
-0.951538086,0.299682617,-0.116333008,971.4434849,354.0309993,0
-0.956298828,0.297607422,-0.123046875,971.4434849,354.0309993,0
